ID,Type,Speaker,Expression,Text,Background,Music,Item,Effect,NextID
start,나레이션,watson,,"1881년 10월, 런던.

베이커 스트리트 221B.",,,,,start_knock
start_knock,나레이션,watson,,"쿵쾅쾅쾅!!!

문을 두드리는 소리가 집 전체를 울린다.",,,,shake:true,start_wake
start_wake,나레이션,watson,,"...뭐지?!

나는 침대에서 벌떡 일어났다. 심장이 쿵쿵 뛴다.

아프가니스탄에서 돌아온 후, 갑작스러운 소음에 아직도 놀라곤 한다.",,,,,start_time
start_time,나레이션,watson,,"시계를 보니 새벽 5시.

창밖은 아직 어둡다. 런던의 안개가 가로등 불빛을 희미하게 만든다.

누가 이 시간에...?",,,,,start_holmes_voice
start_holmes_voice,대사,holmes,,"[홈즈]: (거실에서) 들어오시오!

홈즈의 목소리가 들린다. 평소처럼 차분하다.",,,,,start_rush
start_rush,나레이션,watson,,"나는 재킷을 걸치며 거실로 향했다.

다리가 아직 완전히 낫지 않아 약간 절뚝거린다. 아프간 총상의 흔적이다.",,,,,gregson_panic
gregson_panic,대사,gregson,,"[그레그슨]: (거친 숨을 몰아쉬며) 홈즈 씨!!! 당장 오셔야 합니다!

그레그슨 형사다. 스코틀랜드 야드의 베테랑 형사.",,,,,gregson_panic2
gregson_panic2,나레이션,watson,,"창백한 얼굴. 떨리는 손. 이마에는 식은땀이 맺혀있다.

그레그슨이 이렇게 당황한 모습을 본 건 처음이다.

무슨 일이 있었던 거지?",,,,,gregson_enters
gregson_enters,대사,gregson,,"[그레그슨]: (목소리가 떨리며) 큰일입니다! 큰일이에요!

그가 거실 안으로 비틀거리며 들어선다.",,,,,holmes_calm
holmes_calm,대사,holmes,,"[홈즈]: (파이프 연기를 천천히 내뿜으며) 진정하시오, 그레그슨.

[홈즈]: (차분하게) 흥분은 사건 해결에 아무런 도움이 되지 않네.",,,,,holmes_calm2
holmes_calm2,나레이션,watson,,"홈즈는 안락의자에 깊숙이 몸을 기댄 채 파이프를 피우고 있었다.

그의 눈가에 드리운 그림자를 보니, 밤새 잠을 자지 않은 것이 분명했다.

탁자 위에는 화학 서적들과 실험 도구들이 어지럽게 널려있다. 유리관에서 희미한 증기가 피어오른다.",,,,,holmes_explain
holmes_explain,대사,holmes,,"[홈즈]: (날카로운 시선으로 그레그슨을 응시하며) 무슨 일인지 차근차근 설명해보시오.

[홈즈]: (손가락으로 책상을 톡톡 두드리며) 숨을 고르고, 처음부터 차례대로. 자네의 추측이 아니라 **사실**만 말하게.",,,,,gregson_breathe
gregson_breathe,대사,gregson,,"[그레그슨]: (깊게 숨을 들이마신다) 하아... 하아...

그가 손수건으로 이마의 땀을 닦는다.",,,,,gregson_news
gregson_news,대사,gregson,,"[그레그슨]: (떨리는 목소리로) 모로 백작이...

그가 잠시 말을 멈춘다. 용기를 내는 듯하다.",,,,,gregson_missing
gregson_missing,대사,gregson,,"[그레그슨]: (목소리를 높이며) 실종되었습니다!

순간 거실의 공기가 무겁게 가라앉는다.",,,,,watson_shock
watson_shock,대사,watson,,"[왓슨]: (깜짝 놀라며) 뭐라고?!

나는 자리에서 벌떡 일어났다.",,,,,gregson_detail1
gregson_detail1,대사,gregson,,"[그레그슨]: (빠르게 설명하며) 오늘 새벽, 하인들이 백작의 침실을 확인했습니다.

[그레그슨]: 어제 저녁 이후로 백작님을 본 사람이 아무도 없었거든요.",,,,,gregson_detail2
gregson_detail2,대사,gregson,,"[그레그슨]: (눈살을 찌푸리며) 침실은... 평범했습니다. 침대는 정돈되어 있었고, 흔적이 없었어요.

[그레그슨]: 마치 그곳에서 잠을 자지 않은 것처럼...",,,,,gregson_detail3
gregson_detail3,대사,gregson,,"[그레그슨]: (목소리가 커지며) 하지만 서재는 난장판이었습니다! 책상이 넘어져 있고, 책들이 사방에 흩어져 있었죠!

[그레그슨]: (손을 떨며) 잉크병이 깨져서... 바닥 전체가 검게 물들었습니다.",,,,,gregson_detail4
gregson_detail4,대사,gregson,,"[그레그슨]: (숨을 삼키며) 그리고 벽에는... 피로 쓴 글자가...!

그의 얼굴이 더욱 창백해진다.",,,,,holmes_intrigued
holmes_intrigued,대사,holmes,,"[홈즈]: (앞으로 몸을 숙이며 파이프를 재떨이에 내려놓는다) 흥미롭군.

[홈즈]: (눈을 가늘게 뜨며) 피로 쓴 메시지라... 범인은 무언가를 **전달**하고 싶어했어. 단순한 살인이 아니야.",,,,,holmes_intrigued2
holmes_intrigued2,대사,holmes,,"[홈즈]: (날카로운 시선으로 그레그슨을 바라보며) 그게 전부인가? 다른 흔적은? 발자국, 머리카락, 천 조각, 뭐든...

그가 손가락을 세우며 기다린다.",,,,,gregson_no
gregson_no,대사,gregson,,"[그레그슨]: (고개를 저으며) 아닙니다... 그게... 아직 자세히 조사하지 못했습니다.

[그레그슨]: (주머니를 뒤지며) 하지만... 이걸...",,,,,gregson_photo
gregson_photo,대사,gregson,,"[그레그슨]: (사진을 꺼내며) 이걸... 보십시오.

그의 손이 심하게 떨린다.",,,,,gregson_photo2
gregson_photo2,나레이션,watson,,"그레그슨이 떨리는 손으로 사진을 꺼냈다.

그리고 조심스럽게 테이블 위에 놓았다. 사진이 테이블에 닿는 작은 소리가 거실의 정적을 깬다.",,,,,watson_sees_photo
watson_sees_photo,나레이션,watson,,"나는 몸을 숙여 사진을 봤다.

홈즈도 의자에서 일어나 내 옆으로 다가온다.",,,,,watson_sees_photo2
watson_sees_photo2,나레이션,watson,,그리고...,,,,,watson_sees_photo3
watson_sees_photo3,나레이션,watson,,...!,,,,,watson_photo_description
watson_photo_description,나레이션,watson,,"서재 벽면이었다.

그곳에... 붉은 글씨가 쓰여있었다.",,,,,watson_blood
watson_blood,나레이션,watson,,피로 쓴 것이 분명했다.,,,,,rache_reveal
rache_reveal,나레이션,watson,,**RACHE**,,,,,watson_rache_question
watson_rache_question,나레이션,watson,,라헤...?,,,,,watson_german
watson_german,나레이션,watson,,독일어인가?,,,,,silence
silence,나레이션,watson,,침묵.,,,,,holmes_stands
holmes_stands,나레이션,watson,,홈즈가 천천히 일어섰다.,,,,,holmes_smile
holmes_smile,나레이션,watson,,그의 얼굴에 희미한 미소가 떠올랐다.,,,,,holmes_rache
holmes_rache,나레이션,holmes,,RACHE.,,,,,holmes_rache2
holmes_rache2,나레이션,holmes,,"독일어로 ""복수""를 뜻하지.",,,,,watson_shiver
watson_shiver,나레이션,watson,,나는 온몸에 소름이 돋는 것을 느꼈다.,,,,,CHOICE:watson_urge_depart|watson_research_order
watson_urge_depart,나레이션,watson,,"""출발하세, 홈즈."" 내가 말했다.",,,,,holmes_agree
watson_research_order,나레이션,holmes,,"""왓슨, 백작의 과거를 조사해보시오.""",,,,,research_count
research_count,나레이션,,,"홈즈는 즉시 움직이지 않았다. 그는 언제나 그랬듯이, 충분한 정보 없이는 현장에 가지 않는다.

나는 홈즈의 방대한 자료실을 뒤졌다. 신문 스크랩, 사회면 기사, 소문들...

그리고 찾아냈다.

**1861년, 모로 백작 독일 여행 중 스캔들**

모로 백작은 독일을 여행했다. 신비주의와 연금술을 연구하기 위해서였다고 한다.

그곳에서 한 남자를 만났다. 이름은 기록되지 않았지만, 그에게는 아름다운 딸 **루시**가 있었다.

루시에게는 약혼자가 있었다. 제퍼슨 호프라는 청년.

하지만... 백작이 루시를 ""구원하겠다""며 강제로 데려갔다.

**""영원한 구원 교단""**이라는 종교 단체의 이름이 희미하게 언급되어 있다.

그리고 1주일 후... 루시는 죽었다.

자세한 내용은 알 수 없었다. 모든 기록이 묘하게 소실되어 있었다.

돈의 힘일까. 아니면... 더 어두운 무언가?

""흥미롭군."" 홈즈가 내 어깨 너머로 기사를 읽었다. ""20년 전의 비극... 그리고 지금의 복수. 루시의 약혼자 호프가 백작을 찾고 있다는 뜻이군.""

""출발하지, 왓슨. 모로 백작의 저택으로.""",,,,,chapter1_starts
holmes_agree,나레이션,holmes,,"홈즈가 고개를 끄덕였다. ""동의하네, 왓슨. 이 사건은 흥미롭군.""",,,,,watson_gear_up
watson_gear_up,나레이션,watson,,"나는 코트를 입고 권총을 챙겼다. 아프가니스탄에서 가져온 육군용 리볼버다. 홈즈의 사건들은 종종 위험하기 때문에, 항상 휴대하는 습관이 생겼다.",,,,,gregson_ready_check
gregson_ready_check,나레이션,gregson,,"""준비되셨습니까, 왓슨 박사님?"" 그레그슨이 물었다.",,,,,watson_ready_confirm
watson_ready_confirm,나레이션,watson,,"""준비됐네."" 내가 대답했다.

홈즈는 여행용 가방에 그의 수사 도구들을 챙겼다. 돋보기, 줄자, 그리고 화학 시약들.",,,,,holmes_depart
holmes_depart,나레이션,holmes,,"자, 가세. 모로 백작의 저택으로.",,,,,watson_leave
watson_leave,나레이션,watson,,"나는 문을 나서며 뒤를 돌아보았다. 평화로운 아침의 거실이 보였다. 

이 평화가 얼마나 갈까? 나는 알 수 없었다.",,,,,chapter1_starts
chapter1_starts,나레이션,watson,,"우리는 마차에 올라탔다.

모로 백작의 저택으로.",,,,,carriage_holmes_foreshadow
carriage_holmes_foreshadow,대사,watson,,"마차가 안개 속을 달린다.

홈즈가 창밖의 안개를 응시한다.

[홈즈]: 왓슨, 자네는 모로 백작이 왜 우리를 불렀다고 생각하나?

[홈즈]: 단순한 도난이나 유산 문제라면 런던의 흔한 경관을 불렀겠지.

[홈즈]: 하지만 그는 우리를 선택했네.

[홈즈]: 그건 이 사건이 '증거'보다 '비밀'에 가깝다는 뜻이지.",carriage,,,,CHOICE:carriage_watson_asks
carriage_watson_asks,대사,watson,,"[왓슨]: 백작은 이 지역의 명망 높은 자산가네.

[왓슨]: 그의 편지에는 절박함이 묻어있었어.

홈즈가 고개를 끄덕인다.",carriage,,,,CHOICE:carriage_holmes_warning
carriage_holmes_warning,대사,holmes,,"[홈즈]: 절박함이라...

[홈즈]: 20년 전 루시라는 여인이 사라졌던 그 비극의 향기가 여기까지 진동하는군.

홈즈가 당신을 본다.

[홈즈]: 저택에 들어서는 순간, 사람들의 눈이 아닌...

[홈즈]: 그들이 감추려 하는 '손'을 관찰하게.

마차가 멈춘다.

**[모로 백작의 저택 도착]**",carriage,,,,CHOICE:arrive_mansion
arrive_mansion,나레이션,watson,,"마차는 런던 외곽의 으스스한 길을 달렸다. 안개가 점점 짙어졌다.

나무들이 괴기스러운 그림자를 드리웠고, 까마귀들이 불길하게 울었다.",,,,,arrive_mansion_2
arrive_mansion_2,나레이션,watson,,"그리고... 저택이 나타났다.

모로 백작의 저택.

검은 철문, 덩굴로 뒤덮인 벽, 깨진 창문들. 마치 오래전에 버려진 유령의 집 같았다.",,,,,arrive_mansion_3
arrive_mansion_3,나레이션,watson,,"마차에서 내리자 차가운 바람이 불어왔다. 내 다리의 오래된 상처가 욱신거렸다.

홈즈가 날카로운 눈빛으로 주변을 관찰했다. 정문의 자물쇠가 부러져 있었다. 최근의 일이었다.",,,,,arrive_mansion_4
arrive_mansion_4,나레이션,holmes,,"왓슨, 관찰하게. 저 마차를 보게. 주인은 최소 하룻밤 이상 여기서 대기한 것 같군.",,,,,arrive_mansion_5
arrive_mansion_5,나레이션,watson,,저택 앞마당에는 낡은 마차 한 대가 멈춰서 있었다. 바퀴 자국이 깊게 파여있었다.\n\n누군가 백작의 저택을 감시하고 있는 걸까? 아니면... 다른 이유?,,,,,CHOICE:investigate_carriage|ask_holmes_opinion|observe_surroundings|direct_entrance_choice
ask_holmes_opinion,나레이션,watson,,"""홈즈, 어떻게 생각해?""

홈즈가 파이프를 물고 주변을 천천히 둘러본다.",,,,,holmes_deduction_start
holmes_deduction_start,나레이션,holmes,,"흥미로운 현장이군, 왓슨. 이미 여러 가지가 보이기 시작해.",,,,,holmes_deduction_details
holmes_deduction_details,대사,watson,,"홈즈가 손가락으로 마차를 가리킨다.

[홈즈]: 저 마차 바퀴의 흙. 런던 시내의 점토와는 다르지. 더 어둡고 습해. 아마도 저택 뒷편의 정원이나 우물 근처에서 온 것 같군.

그가 시선을 저택 2층 창문으로 옮긴다.

[홈즈]: 그리고 저 창문... 하나만 커튼이 흔들리고 있어. 바람 때문일 수도 있지만...

[왓슨]: 누군가 있다는 뜻인가?

[홈즈]: 가능성은 항상 열어두어야 하네.",,,,,CHOICE:holmes_more_deduction|watson_independent_choice
holmes_more_deduction,나레이션,holmes,,"자네도 알다시피, 나는 가설을 세우기 전에 충분한 데이터를 수집하는 걸 선호하네.

하지만... 몇 가지는 이미 명확해.

첫째, 백작의 실종 우발적이지 않아. 누군가 계획한 것이지.

둘째, 범인은 이 저택의 구조를 잘 알고 있어. 정문 자물쇠를 부순 방식이 거칠어 보이지만, 실제로는 매우 정교하게 계산된 행동이야.

셋째... 우리를 기다리는 사람이 있어.",,,,,holmes_waiting_person
holmes_waiting_person,대사,watson,,"[왓슨]: 우리를 기다린다고?

[홈즈]: 그레그슨이 우리를 부른 건 우연이 아니야. 누군가 이 사건이 해결되길 원하고 있어. 혹은... 특정한 방향으로 조사가 진행되길 바라고 있지.

그가 차가운 미소를 짓는다.

[홈즈]: 그들의 의도대로 움직일 필요는 없어. 자, 들어가보자구.",,,,,CHOICE:investigate_carriage|main_entrance|observe_surroundings
observe_surroundings,나레이션,watson,,"나는 서두르지 않기로 했다. 홈즈의 방법론을 따라, 먼저 주변을 꼼꼼히 살펴보기로 한다.

저택은 빅토리아 시대 초기의 고딕 양식이다. 3층 규모, 검은 벽돌, 뾰족한 지붕.

정원은 오래전부터 방치된 듯하다. 잡초가 무성하고, 분수는 깨져있다.",,,,,observe_details
observe_details,대사,watson,,"그런데... 이상하다.

정원은 황폐하지만, 저택으로 이어지는 돌길은 비교적 깨끗하다. 누군가 최근에 왕래한 흔적이 있다.

그리고 담벼락 근처... 발자국이 보인다. 여러 사람의 것 같다.

[왓슨]: (백작이 실종된 건 어젯밤이라고 했지. 그렇다면 이 발자국들은...)

홈즈가 내 옆으로 다가온다.",,,,,holmes_joins_observation
holmes_joins_observation,나레이션,holmes,,"잘 봤네, 왓슨. 자네 관찰력이 점점 좋아지고 있어.

저 발자국들... 최소 세 명이야. 한 명은 여성. 구두 뒤꿈치 자국이 얕거든.",,,,,CHOICE:follow_footprints|speculate_woman|main_entrance
